"lang","en"
"dateFormat","Y-m-d"
"Table_intro","In this list you can see the current adverts. If you find a match, you can just go ahead an write this person a message."
"Table_filtern","filter"
"Table_Title ","Table"
"Table_col_name","Name"
"Table_col_spracheAng","Offered Language"
"Table_col_spracheGes","Requested Language"
"Table_col_datum","Activated on"
"Table_col_ort","City"
"Table_filter_alle","all"
"Add_intro","You could not find a matching advert? Just enlist your own tandem-wish."
"Add_name","Your Name"
"Add_email","Your e-mail address"
"Add_email_nochmal","Repeat e-mail address"
"Add_alter","Your Age"
"Add_ort","Your place of residency"
"Add_geschlecht","Your Gender"
"Add_skills","How good can you speek your requested Language?"
"Add_skills_0","just a bit"
"Add_skills_1","intermediate"
"Add_skills_2","good"
"Add_skills_3","very good"
"Add_spracheAng","Your offered Language"
"Add_spracheGes","Your requested Language"
"Add_beschreibung","Tell us about yourself"
"Add_senden","send"
"Add_email_subject","%s Language Tandem: Your advert"
"Add_notification_email","Hello %s,

We are glad that you placed an advert in the %s Language Tandem. Click here to activate your offer: 
%s

People who are interested can now contact you through our portal. We will forward any request with the contact details to you. Then it is up to you to decide if to get into direkt contact.

For the first meetings we recommend one of our meeting suggestions. You can find them on our homepage.

We wish you good luck and a lots of fun at the %s Language Tandem!

Best regards

The %s Language Tandem Team



You can deactivate your offer using the following link:
%s

You can edit your offer using the following link:
%s

If you have any questions of recommendations you cann write an email to: %s"
"Add_datenschutz","I agree that my data such as name and email address will be saved. This data will only be used to drive the KuB Language Tandem. "
"Add_ausfuellen","Please fill in all fields, enter a correct e-mail address and accept the privacy terms."
"Add_Title","Add Advert"
"Add_gesendet","Your advert is submitted.

Now you will receive an e-mail from us, including an activation link for your advert. If you click on this link, your advert will be released."
"Add_nichtGesendet","The confirmation e-mail could not be sent. Propably you entered an e-mail address, which is not correct."
"zurueck","back"
"View_alter","Age"
"View_geschlecht","Gender"
"View_skills","Language skills"
"View_skills_0","just a bit"
"View_skills_1","intermediate"
"View_skills_2","good"
"View_skills_3","very good"
