Feld,de,en,fr,es,ar,fa
"lang ",de,en,fr,es,ar,fa
dateFormat,d.m.Y,Y-m-d,d.m.Y,d.m.Y,Y-m-d,Y-m-d
Table_intro,"In der folgenden Liste können Sie die aktuellen Anzeigen sehen. Falls eine passende Anzeige für Sie dabei ist, können Sie der Person einfach eine Nachricht schicken.","In this list you can see the current adverts. If you find a match, you can just go ahead an write this person a message.","Dans cette liste, tu peux consulter les annonces actuelles. Si tu en trouves une qui corresponde à tes critères, tu peux simplement envoyer un e-mail.","En la siguiente lista puedes ver los anuncios actuales. Si encuentras uno a tu medida, mándale un mensaje a la persona que ha publicado el anuncio.","في القائمة التالية تستطيع أن تتفرج على الإعلانات الحالية. إذا وجدت شيءً مناسبا تستطيع   أن تبعث إيمايل له أو لها.","در لیست ذیل موارد موجود را مشاهده می کنید، چنانچه موردی مناسب برایتان وجود دارد، برای شخص پیغام بگذارید"
Table_filtern,filtern,filter,filterer,filtrar,تصفية,فیلتر
"Table_Title ",Tabelle,Table,,,,
Table_col_name,Name,Name,Nom,Nombre,اسم,نام
Table_col_spracheAng,"Angebotene Sprache","Offered Language","Langue offerte","Idioma ofrecido","لغة مقدمة","زبان ارائه شده"
Table_col_spracheGes,"Gesuchte Sprache","Requested Language","Langue recherchée","Idioma buscado","لغة مرغوب فيها","زبان مورد نیاز"
Table_col_datum,"Eingestellt am","Activated on","placé à","Publicado el","تاريخ التسجل","تاریخ ثبت درخواست"
Table_col_ort,Ort,City,"Lieu de domicile",Sitio,مكان,مکان
Table_filter_alle,alle,all,tout,todos/todas,كل,همه
Add_intro,"Keine passende Anzeige gefunden? Dann tragen Sie ihren Tandem-Wunsch einfach selbst in die Liste ein.","You could not find a matching advert? Just enlist your own tandem-wish.","Tu n´as pas trouvé l´annonce que tu cherchais? Place une annonce toi-même!","¿No has encontrado ningún anuncio adecuado? En este caso puedes registrar en la lista el tipo de Tándem que desearías.","إذا ما وجدت إعلانا مناسبا تستطيع أن تسجل التنديم الذي تريد أن تقوم به.",
Add_name,"Ihr Name","Your Name","Ton nom",Nombre,اسمك,نام
Add_email,"Ihre Email-Adresse","Your e-mail address","Ton e-mail",E-mail,"عنوانك للإيمايل",ایمیل
Add_email_nochmal,"Email-Adresse wiederholen","Repeat e-mail address","Répétez e-mail","Repetir E-mail","كرر البريد الإلكتروني","ایمیل تکرار"
Add_alter,"Ihr Alter","Your Age","Ton âge",Edad,عمرك,سن
Add_ort,"Ihr Wohnort","Your place of residency","Ton lieu de domicile",Domicilio,مدينتك,"محل اقامت"
Add_geschlecht,"Ihr Geschlecht","Your Gender","Ton sexe",Sexo,جنسك,جنس
Add_skills,"Wie gut können Sie ihre Wunschsprache sprechen?","How good can you speek your requested Language?","Niveau de connaissance de la langue recherchée","¿Cómo hablas el idioma que quieres aprender/mejorar?","على أي مستوى تتكلم باللغة التي فرغب","میزان تسلط به زبان درخواستی"
Add_skills_0,"ein bisschen","just a bit","un peu","un poco",قليلا,اندک
Add_skills_1,"geht so",intermediate,"ça va","más o menos",متوسط,"قابل قبول"
Add_skills_2,gut,good,bon,bien,جيد,خوب
Add_skills_3,"sehr gut","very good","très bon","muy bien","جيد جدا","خیلی خوب"
Add_spracheAng,"Von Ihnen angebotene Sprache","Your offered Language","Langue offerte","Idioma ofrecido","اللغاة التي تقدمها","زبانی که مایل به ارایه آن هستید"
Add_spracheGes,"Ihre Wunschsprache","Your requested Language","Langue recherchée","Idioma deseado","اللغة التي ترغب فيها","زبان درخواستی"
Add_beschreibung,"Erzählen Sie ein bisschen von sich","Tell us about yourself","Quelques informations sur toi-même","Cuéntanos un poco sobre tí","أخبرنا قليلا عن نفسك / قدم نفسك","کمی در مورد خودتان توضیح دهید"
Add_senden,senden,send,envoyer,enviar,إرسال,ارسال
Add_email_subject,"%s-Sprach-Tandem: Ihre Anzeige","%s Language Tandem: Your advert","Tandem linguistique de la %s: ton annonce","%s-Sprach-Tandem: Tu anuncio","لك رسالة جديدة:تاندم اللغة للـ %s","درخواست شما:در برنامه شراکت زبانی %s"
